Contador;Tempo;Tempo Milisegundos;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento
93;1448;1494082053852;2;400.0;276.64;7941896.0;5415936.0;320.0;160.0;0.6916;0.68819034;0.4;0.8;;1494081873;1494081886
94;1463;1494082078865;2;400.0;285.2;7941896.0;5430272.0;320.0;160.0;0.71300006;0.7005952;0.4;0.8;;1494081894;1494081904
95;1486;1494082096681;2;400.0;275.58;7941896.0;5474304.0;320.0;160.0;0.68894994;0.6947726;0.4;0.8;;1494081913;1494081931
96;1504;1494082110628;2;400.0;269.11;7941896.0;5518336.0;320.0;160.0;0.672775;0.68377376;0.4;0.8;;1494081933;1494081938
97;1519;1494082123529;2;400.0;281.42;7941896.0;5514240.0;320.0;160.0;0.70355004;0.6936619;0.4;0.8;;1494081946;1494081957
98;1534;1494082145841;2;400.0;267.88998;7941896.0;5539840.0;320.0;160.0;0.66972494;0.68169343;0.4;0.8;;1494081973;1494081979
99;1553;1494082163587;2;400.0;275.56998;7941896.0;5558272.0;320.0;160.0;0.68892497;0.6853092;0.4;0.8;;1494081983;1494081997
100;1571;1494082176342;2;400.0;285.51;7941896.0;5562368.0;320.0;160.0;0.71377504;0.6995421;0.4;0.8;;1494082004;1494082008
101;1586;1494082190702;2;400.0;287.87997;7941896.0;5594112.0;320.0;160.0;0.7196999;0.709621;0.4;0.8;;1494082012;1494082017
102;1601;1494082199936;2;400.0;282.28;7941896.0;5598208.0;320.0;160.0;0.7057;0.7076605;0.4;0.8;;1494082024;1494082029
103;1616;1494082226845;2;400.0;285.25;7941896.0;5672960.0;320.0;160.0;0.713125;0.7103927;0.4;0.8;;1494082052;1494082057
104;1634;1494082241044;2;400.0;274.24002;7941896.0;5701632.0;320.0;160.0;0.68560004;0.6979964;0.4;0.8;;1494082062;1494082068
105;1649;1494082257694;2;400.0;283.36002;7941896.0;5715968.0;320.0;160.0;0.7084;0.7031982;0.4;0.8;;1494082082;1494082087
106;1665;1494082269570;2;400.0;291.89;7941896.0;5703680.0;320.0;160.0;0.72972506;0.71646166;0.4;0.8;;1494082091;1494082096
107;1680;1494082279806;2;400.0;283.03;7941896.0;5746688.0;320.0;160.0;0.707575;0.7120184;0.4;0.8;;1494082112;1494082106
108;1695;1494082293935;2;400.0;279.07;7941896.0;5742592.0;320.0;160.0;0.697675;0.7048467;0.4;0.8;;1494082120;1494082125
109;1710;1494082309660;2;400.0;278.43;7941896.0;5748736.0;320.0;160.0;0.69607496;0.7004608;0.4;0.8;;1494082132;1494082139
110;1725;1494082321308;2;400.0;287.56;7941896.0;5733376.0;320.0;160.0;0.71889997;0.7096804;0.4;0.8;;1494082151;1494082149
111;1740;1494082341868;2;400.0;283.78998;7941896.0;5749760.0;320.0;160.0;0.7094749;0.7095777;0.4;0.8;;1494082164;1494082171
112;1755;1494082358164;2;400.0;284.62;7941896.0;5752832.0;320.0;160.0;0.71155;0.71056384;0.4;0.8;;1494082188;1494082189
113;1770;1494082375116;2;400.0;281.91998;7941896.0;5790720.0;320.0;160.0;0.70479995;0.7076819;0.4;0.8;;1494082198;1494082206
114;1785;1494082402503;2;400.0;279.59998;7941896.0;5826560.0;320.0;160.0;0.69899994;0.7033409;0.4;0.8;;1494082218;1494082236
115;1810;1494082421010;2;400.0;286.22998;7941896.0;5864448.0;320.0;160.0;0.715575;0.70945793;0.4;0.8;;1494082248;1494082244
116;1829;1494082439206;2;400.0;289.59;7941896.0;5878784.0;320.0;160.0;0.723975;0.71671647;0.4;0.8;;1494082258;1494082274
117;1847;1494082456675;2;400.0;277.31998;7941896.0;5900288.0;320.0;160.0;0.69329995;0.7050082;0.4;0.8;;1494082279;1494082284
