Contador;Tempo;Tempo Milisegundos;;;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento;;;;;;
79;1170;1,49203E+12;21:47:43;00:15:59;4;400;303,3;3072;3072;320;160;0,75825;0,760561;0,4;0,8;;1492033648;1492033659;1492033648;1492033657;;
80;1185;1,49203E+12;21:47:58;00:16:14;4;400;310,3;3072;3072;320;160;0,77575;0,76815546;0,4;0,8;;1492033669;1492033665;1492033668;1492033663;;
81;1200;1,49203E+12;21:48:13;00:16:29;4;400;315,1;3072;3072;320;160;0,78775;0,77795273;0,4;0,8;;1492033689;1492033685;1492033688;1492033683;;
82;1215;1,49203E+12;21:48:30;00:16:46;4;400;306,6;3072;3072;320;160;0,7665;0,77222633;0,4;0,8;;1492033689;1492033706;1492033704;1492033703;;
83;1230;1,49203E+12;21:48:44;00:17:00;4;400;314,8;3072;3072;320;160;0,78699994;0,77961314;0,4;0,8;;1492033710;1492033720;1492033709;1492033719;;
84;1245;1,49203E+12;21:48:58;00:17:14;4;400;311,6;3072;3072;320;160;0,77900004;0,7793066;0,4;0,8;;1492033729;1492033726;1492033728;1492033724;;
85;1260;1,49203E+12;21:49:13;00:17:29;4;400;310,6;3072;3072;320;160;0,7765;0,7779033;0,4;0,8;;1492033744;1492033746;1492033748;1492033743;;
86;1275;1,49203E+12;21:49:28;00:17:44;4;400;308,6;3072;3072;320;160;0,7715;0,77470165;0,4;0,8;;1492033758;1492033762;1492033763;1492033760;;
87;1290;1,49203E+12;21:49:43;00:17:59;4;400;318,8;3072;3072;320;160;0,797;0,7858508;0,4;0,8;;1492033774;1492033770;1492033768;1492033768;;
88;1305;1,49203E+12;21:49:58;00:18:14;4;400;315,1;3072;3072;320;160;0,78775;0,7868004;0,4;0,8;;1492033793;1492033790;1492033789;1492033788;;
89;1320;1,49203E+12;21:50:14;00:18:30;4;400;311,1;3072;3072;320;160;0,77775;0,7822752;0,4;0,8;;1492033808;1492033804;1492033809;1492033808;;
90;1335;1,49203E+12;21:50:28;00:18:44;4;400;312,6;3072;3072;320;160;0,78150004;0,78188765;0,4;0,8;;1492033814;1492033824;1492033822;1492033823;;
91;1350;1,49203E+12;21:50:43;00:18:59;4;400;319,19998;3072;3072;320;160;0,798;0,7899438;0,4;0,8;;1492033834;1492033832;1492033829;1492033830;;
92;1365;1,49203E+12;21:50:58;00:19:14;4;400;324,6;3072;3072;320;160;0,8115;0,8007219;0,4;0,8;;1492033852;1492033851;1492033849;1492033848;;
93;1380;1,49203E+12;21:51:15;00:19:31;4;400;315,6;3072;3072;320;160;0,78900003;0,79486096;0,4;0,8;;1492033869;1492033870;1492033864;1492033869;;
94;1395;1,49203E+12;21:51:29;00:19:45;4;400;310,1;3072;3072;320;160;0,77525;0,7850555;0,4;0,8;;1492033873;1492033870;1492033873;1492033885;;
95;1410;1,49203E+12;21:51:43;00:19:59;4;400;314,8;3072;3072;320;160;0,78699994;0,7860277;0,4;0,8;;1492033894;1492033894;1492033893;1492033892;;
96;1425;1,49203E+12;21:51:59;00:20:15;4;400;307,6;3072;3072;320;160;0,769;0,77751386;0,4;0,8;;1492033915;1492033915;1492033914;1492033913;;
97;1440;1,49203E+12;21:52:19;00:20:35;4;400;302,6;3072;3072;320;160;0,7565;0,76700693;0,4;0,8;;1492033930;1492033931;1492033932;1492033934;;
98;1455;1,49203E+12;21:52:28;00:20:44;4;400;311,1;3072;3072;320;160;0,77775;0,77237844;0,4;0,8;;1492033936;1492033936;1492033934;1492033934;;
99;1470;1,49203E+12;21:52:43;00:20:59;4;400;309,6;3072;3072;320;160;0,774;0,7731892;0,4;0,8;;1492033958;1492033956;1492033955;1492033953;;
