Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
451;1492726833898;1492726833905
452;1492726834094;1492726834096
453;1492726834282;1492726834283
454;1492726834474;1492726834475
455;1492726834662;1492726834663
456;1492726834850;1492726834851
457;1492726835038;1492726835039
458;1492726835226;1492726835227
459;1492726835414;1492726835415
460;1492726835602;1492726835603
461;1492726835790;1492726835791
462;1492726835982;1492726835984
463;1492726836174;1492726836175
464;1492726836362;1492726836363
465;1492726836550;1492726836551
466;1492726836738;1492726836739
467;1492726836928;1492726836929
468;1492726837118;1492726837119
469;1492726837310;1492726837311
470;1492726837498;1492726837499
471;1492726837686;1492726837687
472;1492726837878;1492726837879
473;1492726838070;1492726838071
474;1492726838262;1492726838263
475;1492726838450;1492726838451
476;1492726838642;1492726838643
477;1492726838830;1492726838831
478;1492726839018;1492726839019
479;1492726839206;1492726839207
480;1492726839394;1492726839395
481;1492726839582;1492726839583
482;1492726839770;1492726839771
483;1492726839958;1492726839959
484;1492726840146;1492726840147
485;1492726840334;1492726840335
486;1492726840522;1492726840523
487;1492726840710;1492726840711
488;1492726840898;1492726840899
489;1492726841090;1492726841091
490;1492726841278;1492726841279
491;1492726841466;1492726841467
492;1492726841654;1492726841655
493;1492726841846;1492726841847
494;1492726842034;1492726842035
495;1492726842222;1492726842223
496;1492726842414;1492726842415
497;1492726842602;1492726842604
498;1492726842790;1492726842791
499;1492726842978;1492726842980
500;1492726843170;1492726843171
501;1492726843358;1492726843359
502;1492726843546;1492726843547
503;1492726843734;1492726843735
504;1492726843926;1492726843927
505;1492726844114;1492726844115
506;1492726844306;1492726844308
507;1492726844498;1492726844502
508;1492726844694;1492726844696
509;1492726844886;1492726844887
510;1492726845078;1492726845079
511;1492726845266;1492726845267
512;1492726845454;1492726845455
513;1492726845642;1492726845643
514;1492726845830;1492726845831
515;1492726846018;1492726846019
516;1492726846206;1492726846207
517;1492726846394;1492726846395
518;1492726846582;1492726846583
519;1492726846774;1492726846775
520;1492726846962;1492726846963
521;1492726847150;1492726847151
522;1492726847338;1492726847339
523;1492726847526;1492726847527
524;1492726847714;1492726847715
525;1492726847902;1492726847903
526;1492726848090;1492726848091
527;1492726848278;1492726848279
528;1492726848466;1492726848467
529;1492726848654;1492726848655
530;1492726848842;1492726848843
531;1492726849030;1492726849031
532;1492726849218;1492726849219
533;1492726849410;1492726849412
534;1492726849606;1492726849607
535;1492726849794;1492726849795
536;1492726849982;1492726849983
537;1492726850174;1492726850175
538;1492726850362;1492726850364
539;1492726850550;1492726850551
540;1492726850738;1492726850739
541;1492726850926;1492726850927
542;1492726851114;1492726851115
543;1492726851302;1492726851303
544;1492726851490;1492726851491
545;1492726851678;1492726851679
546;1492726851866;1492726851867
547;1492726852054;1492726852055
548;1492726852242;1492726852243
549;1492726852430;1492726852431
550;1492726852618;1492726852619
551;1492726852806;1492726852807
552;1492726852994;1492726852995
553;1492726853182;1492726853183
554;1492726853370;1492726853371
555;1492726853558;1492726853559
556;1492726853746;1492726853747
557;1492726853934;1492726853935
558;1492726854122;1492726854123
559;1492726854310;1492726854311
560;1492726854498;1492726854499
561;1492726854686;1492726854687
562;1492726854874;1492726854875
563;1492726855062;1492726855063
564;1492726855250;1492726855251
565;1492726855438;1492726855439
566;1492726855626;1492726855627
567;1492726855814;1492726855815
568;1492726856002;1492726856003
569;1492726856190;1492726856191
570;1492726856378;1492726856379
571;1492726856566;1492726856567
572;1492726856754;1492726856756
573;1492726856942;1492726856943
574;1492726857130;1492726857131
575;1492726857318;1492726857319
576;1492726857506;1492726857507
577;1492726857694;1492726857695
578;1492726857882;1492726857883
579;1492726858070;1492726858071
580;1492726858258;1492726858259
581;1492726858446;1492726858447
582;1492726858634;1492726858635
583;1492726858822;1492726858823
584;1492726859011;1492726859012
585;1492726859198;1492726859199
586;1492726859390;1492726859391
587;1492726859578;1492726859579
588;1492726859766;1492726859768
589;1492726859954;1492726859955
590;1492726860142;1492726860143
591;1492726860330;1492726860331
592;1492726860522;1492726860523
593;1492726860710;1492726860712
594;1492726860898;1492726860900
595;1492726861086;1492726861087
596;1492726861274;1492726861276
597;1492726861466;1492726861467
598;1492726861654;1492726861655
599;1492726861842;1492726861843
600;1492726862030;1492726862031
601;1492726862218;1492726862219
602;1492726862406;1492726862407
603;1492726862594;1492726862595
604;1492726862782;1492726862783
605;1492726862970;1492726862971
606;1492726863158;1492726863159
607;1492726863346;1492726863347
608;1492726863534;1492726863535
609;1492726863722;1492726863724
610;1492726863910;1492726863912
611;1492726864102;1492726864103
612;1492726864290;1492726864292
613;1492726864490;1492726864492
614;1492726864682;1492726864685
615;1492726864870;1492726864872
616;1492726865058;1492726865059
617;1492726865246;1492726865247
618;1492726865434;1492726865435
619;1492726865622;1492726865623
620;1492726865810;1492726865811
621;1492726865998;1492726865999
622;1492726866186;1492726866187
623;1492726866374;1492726866375
624;1492726866562;1492726866563
625;1492726866758;1492726866760
626;1492726866946;1492726866948
627;1492726867134;1492726867138
628;1492726867326;1492726867327
629;1492726867514;1492726867515
630;1492726867702;1492726867703
631;1492726867890;1492726867891
632;1492726868078;1492726868079
633;1492726868266;1492726868268
634;1492726868454;1492726868455
635;1492726868642;1492726868644
636;1492726868830;1492726868831
637;1492726869018;1492726869019
638;1492726869206;1492726869207
639;1492726869394;1492726869395
640;1492726869582;1492726869583
641;1492726869774;1492726869775
642;1492726869962;1492726869963
643;1492726870146;1492726870147
644;1492726870334;1492726870335
645;1492726870518;1492726870520
646;1492726870706;1492726870707
647;1492726870894;1492726870895
648;1492726871078;1492726871080
649;1492726871266;1492726871267
650;1492726871454;1492726871455
651;1492726871638;1492726871639
652;1492726871826;1492726871827
653;1492726872014;1492726872015
654;1492726872202;1492726872203
655;1492726872394;1492726872395
656;1492726872582;1492726872583
657;1492726872770;1492726872772
658;1492726872958;1492726872959
659;1492726873142;1492726873143
660;1492726873330;1492726873331
661;1492726873518;1492726873519
662;1492726873702;1492726873703
663;1492726873886;1492726873887
664;1492726874074;1492726874075
665;1492726874258;1492726874259
666;1492726874446;1492726874450
667;1492726874634;1492726874635
668;1492726874818;1492726874819
669;1492726875002;1492726875003
670;1492726875190;1492726875191
671;1492726875382;1492726875383
672;1492726875570;1492726875571
673;1492726875758;1492726875759
674;1492726875942;1492726875943
675;1492726876130;1492726876131
676;1492726876318;1492726876319
677;1492726876506;1492726876507
678;1492726876690;1492726876691
679;1492726876878;1492726876879
680;1492726877067;1492726877068
681;1492726877254;1492726877255
682;1492726877442;1492726877443
683;1492726877630;1492726877631
684;1492726877818;1492726877819
685;1492726878002;1492726878003
686;1492726878186;1492726878187
687;1492726878374;1492726878375
688;1492726878562;1492726878563
689;1492726878750;1492726878751
690;1492726878934;1492726878936
691;1492726879122;1492726879123
692;1492726879306;1492726879307
693;1492726879494;1492726879495
694;1492726879678;1492726879679
695;1492726879866;1492726879867
696;1492726880054;1492726880055
697;1492726880242;1492726880243
698;1492726880426;1492726880427
699;1492726880610;1492726880611
700;1492726880798;1492726880800
701;1492726880982;1492726880983
702;1492726881170;1492726881171
703;1492726881358;1492726881359
704;1492726881546;1492726881547
705;1492726881734;1492726881735
706;1492726881918;1492726881919
707;1492726882102;1492726882103
708;1492726882286;1492726882287
709;1492726882470;1492726882471
710;1492726882658;1492726882659
711;1492726882842;1492726882843
712;1492726883026;1492726883027
713;1492726883210;1492726883211
714;1492726883398;1492726883399
715;1492726883582;1492726883583
716;1492726883766;1492726883767
717;1492726883950;1492726883951
718;1492726884134;1492726884135
719;1492726884318;1492726884319
720;1492726884502;1492726884503
721;1492726884690;1492726884691
722;1492726884874;1492726884875
723;1492726885063;1492726885067
724;1492726885254;1492726885257
725;1492726885442;1492726885445
726;1492726885630;1492726885631
727;1492726885818;1492726885819
728;1492726886002;1492726886003
729;1492726886186;1492726886187
730;1492726886370;1492726886371
731;1492726886558;1492726886559
732;1492726886742;1492726886743
733;1492726886926;1492726886927
734;1492726887110;1492726887112
735;1492726887298;1492726887299
736;1492726887482;1492726887483
737;1492726887666;1492726887667
738;1492726887854;1492726887855
739;1492726888038;1492726888039
740;1492726888222;1492726888223
741;1492726888406;1492726888408
742;1492726888598;1492726888599
743;1492726888782;1492726888783
744;1492726888966;1492726888967
745;1492726889150;1492726889151
746;1492726889334;1492726889336
747;1492726889522;1492726889523
748;1492726889706;1492726889707
749;1492726889890;1492726889891
750;1492726890074;1492726890075
751;1492726890262;1492726890263
752;1492726890450;1492726890451
753;1492726890634;1492726890635
754;1492726890818;1492726890819
755;1492726891002;1492726891003
756;1492726891186;1492726891187
757;1492726891370;1492726891371
758;1492726891554;1492726891555
759;1492726891738;1492726891739
760;1492726891926;1492726891927
761;1492726892114;1492726892115
762;1492726892298;1492726892299
763;1492726892482;1492726892483
764;1492726892666;1492726892667
765;1492726892850;1492726892851
766;1492726893034;1492726893035
767;1492726893218;1492726893219
768;1492726893402;1492726893403
769;1492726893586;1492726893595
770;1492726893778;1492726893779
771;1492726893962;1492726893963
772;1492726894146;1492726894147
773;1492726894330;1492726894331
774;1492726894514;1492726894515
775;1492726894698;1492726894700
776;1492726894882;1492726894883
777;1492726895066;1492726895067
778;1492726895250;1492726895251
779;1492726895434;1492726895435
780;1492726895618;1492726895620
781;1492726895802;1492726895803
782;1492726895986;1492726895987
783;1492726896170;1492726896172
784;1492726896354;1492726896355
785;1492726896538;1492726896539
786;1492726896722;1492726896723
787;1492726896906;1492726896907
788;1492726897090;1492726897091
789;1492726897274;1492726897275
790;1492726897458;1492726897459
791;1492726897642;1492726897643
792;1492726897826;1492726897827
793;1492726898010;1492726898012
794;1492726898198;1492726898199
795;1492726898386;1492726898387
796;1492726898570;1492726898571
797;1492726898754;1492726898755
798;1492726898942;1492726898943
799;1492726899126;1492726899127
800;1492726899310;1492726899311
801;1492726899494;1492726899496
802;1492726899678;1492726899679
803;1492726899862;1492726899863
804;1492726900046;1492726900047
805;1492726900230;1492726900231
806;1492726900414;1492726900415
807;1492726900598;1492726900599
808;1492726900782;1492726900783
809;1492726900966;1492726900967
810;1492726901150;1492726901151
811;1492726901334;1492726901335
812;1492726901518;1492726901519
813;1492726901702;1492726901703
814;1492726901886;1492726901887
815;1492726902070;1492726902071
816;1492726902254;1492726902255
817;1492726902438;1492726902439
818;1492726902622;1492726902623
819;1492726902806;1492726902807
820;1492726902990;1492726902991
821;1492726903174;1492726903176
822;1492726903358;1492726903359
823;1492726903542;1492726903543
824;1492726903726;1492726903727
825;1492726903914;1492726903916
826;1492726904102;1492726904103
827;1492726904290;1492726904293
828;1492726904478;1492726904481
829;1492726904666;1492726904668
830;1492726904850;1492726904851
831;1492726905034;1492726905035
832;1492726905218;1492726905220
833;1492726905402;1492726905403
834;1492726905586;1492726905587
835;1492726905770;1492726905771
836;1492726905954;1492726905955
837;1492726906138;1492726906139
838;1492726906322;1492726906323
839;1492726906506;1492726906507
840;1492726906690;1492726906691
841;1492726906874;1492726906875
842;1492726907058;1492726907060
843;1492726907242;1492726907243
844;1492726907426;1492726907427
845;1492726907610;1492726907611
846;1492726907794;1492726907795
847;1492726907978;1492726907979
848;1492726908162;1492726908163
849;1492726908346;1492726908347
850;1492726908526;1492726908527
